Samples,BDO,VEL,SUB,BAL,TIS
CEB_02dc,0,0,0,0,0
PED_01dc,0,0,0,0,0
PED_02dc,0,0,0,0,0
BAB_01da,0,0,0,0,0
BAB_02da,0,0,0,0,0
BAB_03da,0,0,0,0,0
BAB_04da,0,0,0,0,0
BAB_05da,0,0,0,0,0
BAB_06da,0,0,0,0,0
BAB_08da,0,0,0,0,0
BAB_09da,0,0,0,0,0
BAB_10da,0,0,0,0,0
BAB_11da,0,0,0,0,0
BAB_12da,0,0,0,0,0
BAB_13da,0,0,0,0,0
BAL_01ta,0,0,0,1,0
BAL_02ta,0,0,0,1,0
BAL_03ta,0,0,0,1,0
BAL_04ta,0,0,0,1,0
BAL_05ta,0,0,0,1,0
BAL_06ta,0,0,0,1,0
BAL_07ta,0,0,0,1,0
BAL_08ta,0,0,0,1,0
BDO_01da,1,0,0,0,0
BDO_02da,1,0,0,0,0
BDO_03da,1,0,0,0,0
BDO_04da,1,0,0,0,0
BDO_05da,1,0,0,0,0
BDO_06da,1,0,0,0,0
BDO_07da,1,0,0,0,0
BDO_08da,1,0,0,0,0
BEL_01da,0,0,0,0,0
BEL_02da,0,0,0,0,0
BEL_03da,0,0,0,0,0
BEL_04da,0,0,0,0,0
BEL_05da,0,0,0,0,0
BEL_06da,0,0,0,0,0
BEL_07da,0,0,0,0,0
BEL_08da,0,0,0,0,0
BGS_01ta,0,0,0,0,0
BGS_02ta,0,0,0,0,0
BGS_03ta,0,0,0,0,0
BGS_04ta,0,0,0,0,0
BGS_05ta,0,0,0,0,0
BGS_06ta,0,0,0,0,0
BGS_07ta,0,0,0,0,0
BGS_08ta,0,0,0,0,0
BIH_01da,0,0,0,0,0
BIH_02da,0,0,0,0,0
BIH_03da,0,0,0,0,0
BIH_04da,0,0,0,0,0
BIH_05da,0,0,0,0,0
BIH_06da,0,0,0,0,0
BIH_07da,0,0,0,0,0
BIH_08da,0,0,0,0,0
BOR_01ta,0,0,0,0,0
BOR_02ta,0,0,0,0,0
BOR_03ta,0,0,0,0,0
BOR_04ta,0,0,0,0,0
BOR_05ta,0,0,0,0,0
BOR_06ta,0,0,0,0,0
BOR_07ta,0,0,0,0,0
BOR_08ta,0,0,0,0,0
BRD_01ta,0,0,0,0,0
BRD_02ta,0,0,0,0,0
BRD_03ta,0,0,0,0,0
BRD_04ta,0,0,0,0,0
BRD_05ta,0,0,0,0,0
BUD_01da,0,0,0,0,0
BUD_02da,0,0,0,0,0
BUD_03da,0,0,0,0,0
BUD_04da,0,0,0,0,0
BUD_05da,0,0,0,0,0
BUD_06da,0,0,0,0,0
BUD_07da,0,0,0,0,0
BUD_08da,0,0,0,0,0
BUR_01ta,0,0,0,0,0
BUT_01ta,0,0,0,0,0
BUT_02ta,0,0,0,0,0
BUT_03ta,0,0,0,0,0
BUT_04ta,0,0,0,0,0
BUT_05ta,0,0,0,0,0
BUT_06ta,0,0,0,0,0
BUT_07ta,0,0,0,0,0
BUT_08ta,0,0,0,0,0
CAR_01ta,0,0,0,0,0
CAR_02ta,0,0,0,0,0
CAR_03ta,0,0,0,0,0
CAR_04ta,0,0,0,0,0
CAR_05ta,0,0,0,0,0
CAR_06ta,0,0,0,0,0
CAR_07ta,0,0,0,0,0
CAR_08ta,0,0,0,0,0
CHO_01ta,0,0,0,0,0
CHO_02ta,0,0,0,0,0
CHO_03ta,0,0,0,0,0
CHO_04ta,0,0,0,0,0
CHO_05ta,0,0,0,0,0
CHO_06ta,0,0,0,0,0
CHO_07ta,0,0,0,0,0
CHO_08ta,0,0,0,0,0
CVH_01da,0,0,0,0,0
DON_01da,0,0,0,0,0
DRA_01ta,0,0,0,0,0
DRA_02ta,0,0,0,0,0
DRA_03ta,0,0,0,0,0
DRA_04ta,0,0,0,0,0
DRA_05ta,0,0,0,0,0
DRA_06ta,0,0,0,0,0
DRA_07ta,0,0,0,0,0
DRA_08ta,0,0,0,0,0
DUM_01ta,0,0,0,0,0
EIS_01ta,0,0,0,0,0
FOJ_01da,0,0,0,0,0
FOJ_02da,0,0,0,0,0
FOJ_03da,0,0,0,0,0
FOJ_04da,0,0,0,0,0
FOJ_05da,0,0,0,0,0
FOJ_06da,0,0,0,0,0
FOJ_07da,0,0,0,0,0
FOJ_08da,0,0,0,0,0
FUG_01ta,0,0,0,0,0
FUG_02ta,0,0,0,0,0
FUG_03ta,0,0,0,0,0
FUG_04ta,0,0,0,0,0
FUG_05ta,0,0,0,0,0
FUG_06ta,0,0,0,0,0
FUG_07ta,0,0,0,0,0
FUG_08ta,0,0,0,0,0
GOR_01da,0,0,0,0,0
GOR_02da,0,0,0,0,0
GOR_03da,0,0,0,0,0
GOR_04da,0,0,0,0,0
GOR_05da,0,0,0,0,0
GOR_06da,0,0,0,0,0
GOR_07da,0,0,0,0,0
GOR_08da,0,0,0,0,0
GUL_01ta,0,0,0,0,0
GUL_02ta,0,0,0,0,0
GUL_03ta,0,0,0,0,0
GUL_04ta,0,0,0,0,0
GUL_05ta,0,0,0,0,0
GUL_06ta,0,0,0,0,0
GUL_07ta,0,0,0,0,0
GUL_08ta,0,0,0,0,0
GUL_09ta,0,0,0,0,0
GUL_10ta,0,0,0,0,0
GUL_11ta,0,0,0,0,0
